Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Kyler Murray	ARI	QB	22.4	25.1	27.6	2.23	3.42	0.0353	1
Lamar Jackson	BAL	QB	23.2	25.1	26.8	1.5	3.53	0.961	1
Patrick Mahomes	KC	QB	22.8	24.1	26.2	1.54	3.12	1.14	2
Christian McCaffrey	CAR	RB	20.7	23.9	26.1	2.31	5.73	4.22	1
Josh Allen	BUF	QB	21.1	23	24.4	1.43	3.7	0.604	2
Dak Prescott	DAL	QB	21.4	22.4	24.2	1.27	3.9	0.392	3
Russell Wilson	SEA	QB	20.9	22	23.6	1.16	3.16	0.387	3
Jalen Hurts	PHI	QB	19.6	21.6	23.9	2.02	5	0.621	3
Justin Herbert	LAC	QB	20	21	21.4	0.673	3.4	0.139	3
Daniel Jones	NYG	QB	20.1	20.8	21.4	0.578	7.5	0.477	4
Ryan Tannehill	TEN	QB	19.7	20.4	21.6	1.15	4.38	0.482	4
Derek Carr	LVR	QB	19.5	19.9	20.5	0.445	5.42	0.188	4
Matthew Stafford	LAR	QB	18.4	19.7	20.8	1.01	3.67	0.0534	4
Dalvin Cook	MIN	RB	18.1	19.7	21.5	1.46	4.46	0.944	1
Tom Brady	TB	QB	18.8	19.6	20.7	0.778	3.26	0.106	4
Kirk Cousins	MIN	QB	18.6	19.5	20.4	0.853	4.4	0.563	5
Aaron Rodgers	GB	QB	17.6	19	20.6	1.57	4.14	0.255	5
Baker Mayfield	CLE	QB	17.4	18.7	21	2.06	5.36	0.186	5
Derrick Henry	TEN	RB	15.8	18.7	20.5	1.94	5.46	1.29	2
Teddy Bridgewater	DEN	QB	17.7	18.5	19.1	0.714	4.07	0.809	6
Matt Ryan	ATL	QB	17.7	17.7	17.8	0.0809	3.27	0.011	6
Ben Roethlisberger	PIT	QB	16.8	17.7	18.7	0.989	5.11	0.0753	6
Sam Darnold	CAR	QB	15.6	17.6	21.5	2.91	7.18	1.01	6
Alvin Kamara	NO	RB	15.9	17.4	18.6	1.19	4.54	1.83	3
Travis Kelce	KC	TE	16.3	17.2	18.3	0.971	3.91	2.37	1
Tyreek Hill	KC	WR	15.3	17	18.6	1.43	4.47	0.74	1
Joe Burrow	CIN	QB	16.3	16.6	17.3	0.589	4.75	0.122	7
Trevor Lawrence	JAC	QB	15.6	16.5	18	1.36	4.91	0.0785	7
Jared Goff	DET	QB	14.2	16.4	18.8	2.09	4.27	0.744	7
Davante Adams	GB	WR	15.8	16.3	16.8	0.422	2.7	0.345	1
Tyler Lockett	SEA	WR	14.3	15.9	17.3	1.13	4.29	0.0207	1
DeAndre Hopkins	ARI	WR	13.6	15.9	18.2	1.85	5.14	0.543	1
Jameis Winston	NO	QB	14.1	15.7	17.3	1.62	6.13	0.327	7
Austin Ekeler	LAC	RB	14.6	15.6	17	1.14	4.5	0.566	4
Jimmy Garoppolo	SF	QB	13.7	15.4	17.3	1.57	5.08	0.0459	7
Taylor Heinicke	WAS	QB	13.9	15.3	16.5	1.41	4.47	0.723	8
Stefon Diggs	BUF	WR	14.3	15.3	16.3	0.866	3.57	0.0411	1
Cooper Kupp	LAR	WR	14.4	15.3	16.5	0.842	4.06	0.354	2
Chris Carson	SEA	RB	14	15	16	0.788	3.85	0.226	4
Calvin Ridley	ATL	WR	14.5	14.9	15.3	0.358	2.93	0.638	2
Nick Chubb	CLE	RB	13.3	14.8	16	1.2	4.43	0.163	4
Darren Waller	LVR	TE	12.9	14.8	16.4	1.38	4.71	4.01	2
Carson Wentz	IND	QB	8.21	14.6	18.4	4.59	8.68	0.104	8
Aaron Jones	GB	RB	12.8	14.6	16.3	1.42	4.62	0.357	5
Mac Jones	NE	QB	13.8	14.5	15.7	1.07	4.96	0.242	8
Joe Mixon	CIN	RB	13.5	14.3	15.2	0.785	4	0.075	5
A.J. Brown	TEN	WR	14	14.3	14.7	0.389	2.96	0.0225	2
CeeDee Lamb	DAL	WR	13.4	14.3	15.1	0.744	3.59	0.0386	2
Amari Cooper	DAL	WR	12.8	14.3	15.9	1.18	4.41	0.484	3
Zach Wilson	NYJ	QB	13.1	14.2	15.1	1.08	3.11	0.206	8
Jonathan Taylor	IND	RB	13.2	14.2	15.4	0.936	4.42	0.693	5
Davis Mills	HOU	QB	12.7	14	15.4	1.98	3.77	3.72	9
Justin Jefferson	MIN	WR	11.1	13.8	15.2	1.98	5.42	0.0609	3
Adam Thielen	MIN	WR	12.5	13.7	15.1	1.05	4.12	0.515	3
Najee Harris	PIT	RB	11.5	13.5	15.4	2	5.89	0.0644	5
Ezekiel Elliott	DAL	RB	11.7	13.5	15	1.27	4.7	0.0479	5
D'Andre Swift	DET	RB	12.3	13.4	15	1.34	4.53	0.319	6
DK Metcalf	SEA	WR	11.6	13.2	15	1.46	4.54	0.0298	3
D.J. Moore	CAR	WR	11.9	13.2	15.2	1.52	5.05	0.152	4
David Montgomery	CHI	RB	12.1	13.1	13.9	0.857	3.84	0.16	6
Keenan Allen	LAC	WR	11.7	13	14.3	1.19	4.54	0.18	4
Saquon Barkley	NYG	RB	10.5	12.9	16.7	2.76	7.36	0.168	6
Miles Sanders	PHI	RB	12	12.8	13.7	0.713	3.82	0.405	6
Marquise Brown	BAL	WR	9.5	12.8	14.5	2.09	7.11	0.122	4
Brandin Cooks	HOU	WR	11.3	12.7	16.1	2.05	5.91	0.0383	4
Deebo Samuel	SF	WR	11.4	12.7	14	0.944	3.91	0.071	4
Julio Jones	TEN	WR	11.7	12.6	14	1.04	4.31	0.0625	4
Robert Woods	LAR	WR	11.4	12.5	13.3	0.89	4.03	0.0992	4
Antonio Gibson	WAS	RB	11.1	12.4	13.8	1.18	4.45	0.0838	7
Courtland Sutton	DEN	WR	11.7	12.4	12.8	0.499	4.28	0.0349	4
Terry McLaurin	WAS	WR	11.6	12.4	13.2	0.563	3.23	0.207	4
James Robinson	JAC	RB	11.1	12.3	13.1	0.887	4.02	0.281	7
Chris Godwin	TB	WR	11.7	12.2	12.9	0.528	3.46	0.155	4
Chase Edmonds	ARI	RB	10.5	12	14.1	1.59	5.61	0.173	7
Sterling Shepard	NYG	WR	9.33	12	13.8	1.84	6.23	0.146	5
Allen Robinson	CHI	WR	11.3	11.9	12.7	0.609	3.67	0.0142	5
Marvin Jones	JAC	WR	10.6	11.9	13.4	1.27	5.32	0.268	5
Myles Gaskin	MIA	RB	10.5	11.8	12.7	1.03	4.19	0.00868	7
Ty'Son Williams	BAL	RB	11	11.8	13.4	1.11	4.76	0.428	7
Mike Williams	LAC	WR	10.5	11.6	12.4	0.923	4.95	0.28	5
Darrell Henderson	LAR	RB	7.79	11.4	13.5	2.24	8.04	0.00659	7
Damien Harris	NE	RB	10.3	11.4	12.8	1.01	3.82	0.0455	7
Clyde Edwards-Helaire	KC	RB	10.2	11.3	12.4	1.01	4.55	0.14	8
Ja'Marr Chase	CIN	WR	9.94	11.3	12.7	1.15	4.45	0.171	5
Melvin Gordon	DEN	RB	9.69	11.2	12.2	1.12	4.5	0.238	8
Tee Higgins	CIN	WR	9.05	11.2	12.5	1.59	5.02	0.0968	5
Mike Evans	TB	WR	10.5	11.1	12	0.709	3.92	0.0113	5
JuJu Smith-Schuster	PIT	WR	9.97	11.1	12.9	1.4	4.65	0.121	5
Mike Davis	ATL	RB	9.5	10.9	12.8	1.51	5.08	1.08	9
Chase Claypool	PIT	WR	9.59	10.9	12	1.06	4.49	0.431	6
George Kittle	SF	TE	10.3	10.8	12.2	0.833	3.86	0.726	3
Michael Pittman	IND	WR	8.5	10.5	12.2	1.71	5.86	0.114	6
Kenny Golladay	NYG	WR	9.63	10.4	11.4	0.8	3.77	0.222	6
Tua Tagovailoa	MIA	QB	6.37	10.3	15.9	5.14	8.18	0.418	9
Henry Ruggs	LVR	WR	8.13	10.2	12.5	2.28	7.28	0.449	7
Mark Andrews	BAL	TE	8.98	10.1	11.2	1.11	4.6	0.256	3
Justin Fields	CHI	QB	4.03	9.9	16	6.23	11	1.01	10
Leonard Fournette	TB	RB	7.91	9.87	11.8	1.71	5.39	0.41	9
T.J. Hockenson	DET	TE	8.92	9.81	10.6	0.633	3.45	0.253	3
Robby Anderson	CAR	WR	7.24	9.72	12.1	2.08	6	0.0978	7
DeVante Parker	MIA	WR	7.62	9.62	11	1.57	5.44	0.0661	7
Rob Gronkowski	TB	TE	8.61	9.55	10.1	0.591	3.67	0.468	4
DeVonta Smith	PHI	WR	6.33	9.55	11.7	2.61	6.55	0.0121	7
Corey Davis	NYJ	WR	8.29	9.54	11.3	1.42	4.9	0.0891	7
Devin Singletary	BUF	RB	8.39	9.46	11.2	1.17	4.96	0.103	9
Cole Beasley	BUF	WR	8.95	9.45	10.4	0.682	3.45	0.0681	7
Nelson Agholor	NE	WR	7.93	9.38	10.9	1.54	4.86	0.153	7
Kareem Hunt	CLE	RB	8.13	9.36	9.94	0.88	4.49	0.5	10
Odell Beckham	CLE	WR	6.15	9.23	10.7	2.2	5.48	0.146	7
Noah Fant	DEN	TE	8.51	9.09	9.75	0.512	3.28	0.163	4
Tyler Boyd	CIN	WR	8.3	9.08	10.2	0.863	4.06	0.00185	7
Antonio Brown	TB	WR	7.53	9.08	10.5	1.26	5.04	0.0673	7
D.J. Chark	JAC	WR	8.55	9.01	9.73	0.582	3.52	0.135	7
