Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	"Drop Off"	Tier	ADP
Josh Allen	BUF	QB	24.2	26.5	28.6	1.83	3.61	2.21	1
Lamar Jackson	BAL	QB	22.4	24.3	26.1	1.65	4.14	1.12	1
Patrick Mahomes	KC	QB	22.9	23.2	23.6	0.254	2.98	0.994	2
Matthew Stafford	LAR	QB	19.6	22.2	24.7	2.11	4.47	1.02	3
Justin Herbert	LAC	QB	20.3	21.2	21.8	0.737	3.39	0.294	3
Dak Prescott	DAL	QB	19	20.9	22.7	1.43	4.08	0.189	3
Jalen Hurts	PHI	QB	20.3	20.7	21.6	0.567	3.68	0.78	4
Kyler Murray	ARI	QB	17.8	19.9	21.8	1.68	6.58	0.0651	4
Tua Tagovailoa	MIA	QB	18.7	19.8	21.2	1.27	5.22	0.506	4
Joe Burrow	CIN	QB	19.2	19.3	19.5	0.104	3.56	0.174	5
Kirk Cousins	MIN	QB	18	19.2	20.3	0.979	4.43	0.0976	5
Cooper Kupp	LAR	WR	17.9	19.2	19.8	0.809	2.98	2.38	1
Derek Carr	LVR	QB	18.3	19.1	20.1	0.76	3.92	0.368	5
Carson Wentz	IND	QB	18	18.7	19.2	0.511	3.92	0.00171	5
Ryan Tannehill	TEN	QB	16.2	18.7	19.9	1.54	4.95	1.2	6
Jonathan Taylor	IND	RB	16.9	18.6	19.4	1.13	3.64	0.533	1
Alvin Kamara	NO	RB	15.7	18	19.4	1.45	4.12	0.494	1
Daniel Jones	NYG	QB	15.5	17.5	19.2	1.39	4.58	0.104	6
Austin Ekeler	LAC	RB	16.6	17.5	18.4	0.778	3.35	0.036	1
Najee Harris	PIT	RB	15.8	17.5	18.4	1.14	3.81	1.1	2
Teddy Bridgewater	DEN	QB	16.6	17.4	19.3	1.29	4.22	0.361	6
Jordan Love	GB	QB	14.8	17	18.8	2.11	8.36	0.637	7
Tyreek Hill	KC	WR	15.2	16.9	18.8	1.52	4.21	0.0377	1
Davante Adams	GB	WR	12.8	16.8	19.6	3.06	9.31	1.3	2
Baker Mayfield	CLE	QB	15.7	16.4	18.2	1.25	4.95	0.102	7
Dalvin Cook	MIN	RB	14.8	16.4	18.3	1.71	4.6	0.687	3
