Index	a	b	Position	Player	Team	Floor	Points	Ceiling	SD	Uncertainty	VOR	"Drop Off"	Tier	ADP	AAV
1			RB	Jonathan Taylor	IND	15.2	17	18.4	1.39	93	7.98	0.665	1
2			RB	Christian McCaffrey	CAR	15.1	16.3	17.7	1.19	87	7.32	1.41	2
3			TE	Mark Andrews	BAL	10.1	11.4	13.2	1.68	99	7.07	0.568	1
4			WR	Cooper Kupp	LAR	13.3	14.6	16.3	1.4	95	6.62	1.33	1
5			QB	Josh Allen	BUF	22	23	24.2	0.453	9	6.51	1.25	1
6			TE	Travis Kelce	KC	10.2	10.9	12.7	0.797	82	6.51	3.38	2
7			RB	Saquon Barkley	NYG	14.4	14.9	15.6	0.578	54	5.9	0.755	3
8			WR	Deebo Samuel	SF	12.5	13.2	13.6	0.426	34	5.29	0.306	1
9			QB	Lamar Jackson	BAL	21	21.7	22.5	0.215	6	5.26	0.0414	1
10			QB	Jalen Hurts	PHI	19.7	21.7	23.8	2.28	99	5.22	2.06	2
11			RB	Nick Chubb	CLE	11.9	14.1	16.5	1.05	86	5.15	0.085	3
12			RB	Derrick Henry	TEN	12.1	14.1	16.5	1.64	99	5.06	0.648	4
13			WR	Stefon Diggs	BUF	12	12.9	14.5	0.556	62	4.98	0.685	2
14			RB	Joe Mixon	CIN	12	13.4	14.7	1.22	89	4.41	0.227	5
15			WR	Justin Jefferson	MIN	11.6	12.2	14.1	0.482	51	4.3	0.217	2
16			RB	Cordarrelle Patterson	ATL	12.4	13.2	14	0.43	39	4.19	0.185	5
17			WR	Ja'Marr Chase	CIN	11	12	13.8	0.311	19	4.08	0.164	2
18			RB	Austin Ekeler	LAC	12.7	13	13.4	0.356	30	4	0.01	5
19			RB	Alvin Kamara	NO	12.4	13	13.9	0.543	51	3.99	0.014	5
20			RB	Leonard Fournette	TB	12.6	13	13.5	0.133	6	3.98	0.159	5
21			WR	Amon-Ra St. Brown	DET	10.8	11.8	14	1.01	85	3.92	0.02	2
22			WR	Davante Adams	LVR	10.8	11.8	13.4	1.03	86	3.9	0.852	3
23			RB	Aaron Jones	GB	12	12.8	13.6	0.897	76	3.82	0.812	6
24			QB	Justin Herbert	LAC	18.7	19.6	20.7	1.01	38	3.15	0.351	3
25			TE	Kyle Pitts	ATL	6.75	7.49	8.14	0.463	76	3.12	0.247	3
26			WR	Tyreek Hill	MIA	10.1	11	13.3	0.762	77	3.05	0.014	3
27			WR	Mike Evans	TB	10.6	11	12.6	0.34	22	3.03	0.042	3
28			RB	Najee Harris	PIT	10.9	12	12.9	0.445	40	3.01	0.106	6
29			WR	A.J. Brown	PHI	10.3	10.9	11.3	0.43	36	2.99	0.198	4
30			RB	Dalvin Cook	MIN	6.13	11.9	13.3	1.02	84	2.9	0.85	7
31			TE	Darren Waller	LVR	6.76	7.24	7.98	0.434	64	2.88	0.153	3
32			QB	Patrick Mahomes	KC	17.7	19.3	21	1.88	88	2.8	1.7	4
33			WR	Jaylen Waddle	MIA	9.87	10.7	13	0.84	79	2.79	0.0916	4
34			TE	George Kittle	SF	6.45	7.09	7.31	0.1	3	2.72	0.259	4
35			WR	Gabriel Davis	BUF	8.68	10.6	12.2	1.06	89	2.7	0.84	5
36			TE	Dallas Goedert	PHI	5.96	6.83	7.87	0.938	94	2.46	0.525	5
37			RB	Ezekiel Elliott	DAL	10.4	11	11.5	0.482	43	2.05	0.03	7
38			RB	Antonio Gibson	WAS	10.1	11	11.8	0.99	79	2.02	0.02	7
39			RB	James Robinson	JAC	10.4	11	12.9	0.497	44	2	0.001	7
40			RB	Dameon Pierce	HOU	10.3	11	11.6	0.639	59	2	0.039	7
41			RB	Jamaal Williams	DET	8.62	11	12.2	0.682	61	1.96	0.022	7
42			RB	Josh Jacobs	LVR	10.1	10.9	11.8	0.807	70	1.94	0.078	7
43			TE	Pat Freiermuth	PIT	4.85	6.31	6.9	0.392	58	1.94	0.000125	5
44			TE	David Njoku	CLE	5.24	6.31	7.25	0.429	61	1.94	0.0979	5
45			RB	James Conner	ARI	10.4	10.9	12.1	0.351	29	1.86	0.005	7
46			RB	Javonte Williams	DEN	9.84	10.9	11.5	0.2	11	1.86	0.235	7
47			WR	Michael Pittman	IND	9.41	9.79	10.4	0.179	4	1.86	0.12	5
48			TE	Gerald Everett	LAC	6.1	6.21	6.58	0.117	6	1.84	0.0564	5
49			TE	T.J. Hockenson	DET	5.62	6.15	6.57	0.228	33	1.78	0.0177	6
50			TE	Zach Ertz	ARI	5.25	6.13	6.75	0.571	79	1.77	0.0836	6
51			WR	Diontae Johnson	PIT	9.08	9.67	10.2	0.44	40	1.74	0.156	5
52			TE	Tyler Higbee	LAR	5.26	6.05	6.45	0.225	27	1.68	0.344	7
53			RB	Jeffery Wilson	SF	9.49	10.6	11.3	1.01	81	1.62	0.01	7
54			RB	Miles Sanders	PHI	9.61	10.6	11.5	0.445	40	1.61	0.276	8
55			WR	CeeDee Lamb	DAL	8.48	9.51	10.2	0.452	45	1.58	0.064	5
56			WR	Amari Cooper	CLE	9.01	9.45	10	0.452	44	1.52	0.07	6
57			WR	Tee Higgins	CIN	8.52	9.38	10	0.371	25	1.45	0.06	6
58			WR	Mike Williams	LAC	8.11	9.32	11	1.08	90	1.39	0.03	6
59			WR	Drake London	ATL	8.57	9.29	9.72	0.185	5	1.36	0.0775	6
60			DST	Steelers	PIT	6.12	6.83	7.92	0.662	84	1.35	0.173	1
61			RB	Rashaad Penny	SEA	8.77	10.3	12.7	0.885	73	1.34	0.175	8
62			TE	Dalton Schultz	DAL	5.33	5.71	5.98	0.125	9	1.34	0.49	8
63			WR	DK Metcalf	SEA	8.77	9.21	10.2	0.433	37	1.28	0.277	6
64			DST	Cowboys	DAL	5.34	6.66	8	1.19	97	1.18	0.407	2
65			RB	AJ Dillon	GB	9.61	10.2	11	0.404	34	1.16	0.59	9
66			QB	Joe Burrow	CIN	17	17.6	18.2	0.484	12	1.1	0.0665	5
67			QB	Aaron Rodgers	GB	16.4	17.5	19.1	1.11	50	1.04	0.134	5
68			WR	DeVonta Smith	PHI	8.58	8.94	9.34	0.207	8	1.01	0.265	7
69			QB	Tom Brady	TB	15.9	17.4	19.1	1.33	68	0.903	0.339	5
70			TE	Robert Tonyan	GB	4.72	5.22	5.71	0.241	39	0.85	0.0354	8
71			TE	Dawson Knox	BUF	4.49	5.18	6.13	0.446	67	0.814	0.286	9
72			DST	Bills	BUF	5.8	6.25	6.7	0.188	26	0.773	0.0367	3
