Index	a	b	Position	Player	Team	Floor	Points	Ceiling	SD	Uncertainty	VOR	"Drop Off"	Tier	ADP	AAV
1			WR	Cooper Kupp	LAR	15	16.4	18.2	0.841	66	8.55	1.94	1
2			RB	Jonathan Taylor	IND	16	17.5	19.5	0.282	10	8.35	2.83	1
3			TE	Travis Kelce	KC	11.4	12.1	14.4	0.783	80	7.54	2.31	1
4			WR	Justin Jefferson	MIN	13.8	14.5	15.2	1.02	80	6.6	0.265	1
5			WR	Davante Adams	LVR	12.5	14.2	16	1.57	94	6.34	1.31	2
6			QB	Josh Allen	BUF	23.4	23.9	24.4	0.533	29	6.14	2.08	1
7			RB	Christian McCaffrey	CAR	11.9	14.7	17.4	1.17	69	5.52	0.507	1
8			TE	Mark Andrews	BAL	9.3	9.79	10.1	0.166	11	5.23	2.09	2
9			WR	Ja'Marr Chase	CIN	12.1	12.9	13.7	0.815	60	5.03	0.573	3
10			RB	Dalvin Cook	MIN	12	14.2	16.3	1.15	68	5.01	0.049	1
11			RB	Austin Ekeler	LAC	13.7	14.1	14.9	0.504	25	4.96	0.16	1
12			RB	Derrick Henry	TEN	11.6	14	16.9	1.6	83	4.81	0.054	1
13			RB	Joe Mixon	CIN	13.4	13.9	14.6	0.578	32	4.75	0.321	2
14			WR	Deebo Samuel	SF	12.1	12.3	13	0.113	1	4.46	0.363	3
15			RB	Saquon Barkley	NYG	12.3	13.6	15.1	1.55	80	4.43	0.549	3
16			WR	Stefon Diggs	BUF	11.1	12	12.3	0.215	9	4.09	0.886	4
17			QB	Patrick Mahomes	KC	21.3	21.9	24.2	0.475	26	4.06	1.31	2
18			RB	Antonio Gibson	WAS	11.4	13	13.8	0.504	27	3.88	0.237	3
19			RB	D'Andre Swift	DET	11.2	12.8	14.5	1.6	85	3.64	0.0967	3
20			RB	Nick Chubb	CLE	10.4	12.7	15.3	3.16	99	3.55	0.0583	3
21			RB	Leonard Fournette	TB	11.7	12.6	13.2	0.697	39	3.49	0.075	3
22			RB	Aaron Jones	GB	10.9	12.6	14.2	0.77	48	3.41	0.4	4
23			WR	Mike Evans	TB	10.8	11.1	11.4	0.325	21	3.21	0.153	4
24			TE	Darren Waller	LVR	7.33	7.7	8.08	0.411	37	3.14	0.503	3
25			WR	Gabriel Davis	BUF	9.15	10.9	11.9	0.474	34	3.05	0.146	4
26			RB	Javonte Williams	DEN	11.5	12.2	12.8	0.712	42	3.01	0.625	4
27			WR	A.J. Brown	PHI	10.2	10.8	11.9	0.689	51	2.91	0.312	5
28			QB	Jalen Hurts	PHI	19.1	20.5	21.4	0.999	54	2.75	0.896	3
29			TE	Dallas Goedert	PHI	6.73	7.2	7.88	0.546	51	2.64	0.171	3
30			WR	Tyreek Hill	MIA	9.5	10.5	11.4	0.782	59	2.6	0.419	5
31			TE	George Kittle	SF	4.28	7.03	7.54	0.43	46	2.47	0.257	4
32			RB	James Conner	ARI	10.6	11.5	13.7	0.652	38	2.39	0.0765	5
33			RB	Alvin Kamara	NO	11.2	11.5	13.3	0.341	17	2.31	0.184	5
34			TE	Kyle Pitts	ATL	6.42	6.77	7.28	0.417	40	2.21	0.18	4
35			WR	Michael Pittman	IND	9.55	10	11.2	0.507	37	2.18	0.8	6
36			RB	Josh Jacobs	LVR	10.4	11.3	11.6	0.178	3	2.13	0.06	5
37			RB	Najee Harris	PIT	10.8	11.2	12.8	0.578	32	2.07	0.446	5
38			TE	Dalton Schultz	DAL	5.4	6.59	6.78	0.264	20	2.03	0.4	5
39			QB	Justin Herbert	LAC	18.8	19.7	22.8	0.439	23	1.85	0.544	3
40			TE	Dawson Knox	BUF	5.24	6.19	6.89	0.979	86	1.63	0.201	5
41			RB	David Montgomery	CHI	10	10.8	11.4	0.371	20	1.62	0.0237	5
42			RB	Darrell Henderson	LAR	9.41	10.8	12.2	1.97	89	1.6	0.12	6
43			RB	Damien Harris	NE	9.02	10.6	12.7	1.28	72	1.48	0.07	6
44			TE	Zach Ertz	ARI	5.53	5.99	6.86	0.402	34	1.43	0.0168	5
45			RB	Miles Sanders	PHI	9.54	10.6	11.3	0.984	58	1.41	0.209	6
46			TE	T.J. Hockenson	DET	5.78	5.97	6.17	0.152	9	1.41	0.0742	5
47			WR	Mike Williams	LAC	8.19	9.24	9.77	0.568	40	1.38	0.22	7
48			TE	Gerald Everett	LAC	5.1	5.9	6.78	0.425	43	1.34	0.0573	6
49			DST	Packers	GB	5.92	6.65	7.05	0.378	48	1.33	0.21	1
50			QB	Kyler Murray	ARI	18.8	19.1	19.6	0.124	9	1.31	0.157	4
51			TE	Tyler Higbee	LAR	5.36	5.84	6.41	0.342	31	1.28	0.358	6
52			RB	Ezekiel Elliott	DAL	9.61	10.4	10.9	0.423	21	1.2	0.25	6
53			WR	CeeDee Lamb	DAL	7.17	9.02	9.99	1.07	83	1.16	0.0497	7
54			QB	Matthew Stafford	LAR	17.6	19	19.9	0.78	43	1.15	0.642	4
55			DST	Rams	LAR	5.94	6.44	6.91	0.586	68	1.12	0.183	2
56			WR	Jaylen Waddle	MIA	8.35	8.97	9.82	0.831	63	1.11	0.0503	7
57			WR	Brandin Cooks	HOU	8.76	8.92	9.7	0.222	10	1.06	0.11	7
58			RB	AJ Dillon	GB	9.36	10.1	10.4	0.133	1	0.95	0.365	7
59			WR	Terry McLaurin	WAS	7.6	8.81	9.65	0.298	19	0.949	0.0285	7
60			DST	Cowboys	DAL	5.21	6.26	8.02	0.966	94	0.942	0.00333	2
61			DST	Steelers	PIT	5	6.26	7.96	1.22	99	0.939	0.253	3
62			TE	Logan Thomas	WAS	4.67	5.48	6.25	0.221	14	0.924	0.106	7
63			WR	Tee Higgins	CIN	5.35	8.78	9.38	0.578	41	0.921	0.0453	7
64			K	Daniel Carlson	LVR	8.46	9.26	10.1	0.745	71	0.884	0.0487	1
