Index	a	b	Position	Player	Team	Floor	Points	Ceiling	SD	Uncertainty	VOR	"Drop Off"	Tier	ADP	AAV
1			TE	Travis Kelce	KC	13.7	15.2	16.6	1.34	73	8.75	0.839	1
2			RB	Jonathan Taylor	IND	14.4	19.8	22.1	1.7	75	8.58	0.219	1
3			RB	Christian McCaffrey	CAR	15.2	19.5	22.9	2.17	88	8.36	1.13	1
4			WR	Cooper Kupp	LAR	13.5	18	20.6	3.15	96	8.18	0.853	1
5			TE	Mark Andrews	BAL	12.1	14.4	16.4	1.81	82	7.91	2.89	2
6			WR	Davante Adams	LVR	15.2	17.1	18.6	1.54	53	7.33	0.985	1
7			RB	Derrick Henry	TEN	16	18.4	20.6	0.756	31	7.23	1.43	2
8			WR	Calvin Ridley	ATL	16.2	16.2	16.2			6.34	0.0108	1
9			WR	Justin Jefferson	MIN	14.7	16.1	18.2	1.19	41	6.33	0.479	2
10			WR	DeAndre Hopkins	ARI	15.7	15.7	15.7			5.85	0.123	2
11			RB	Alvin Kamara	NO	15.3	17	19.4	0.341	6	5.8	0.0385	2
12			RB	Austin Ekeler	LAC	14.8	16.9	19	1.68	72	5.76	0.432	2
13			WR	Ja'Marr Chase	CIN	11.5	15.5	19.5	1.76	66	5.73	0.409	2
14			RB	Dalvin Cook	MIN	14.2	16.5	20.6	1.17	49	5.33	0.201	2
15			WR	Deebo Samuel	SF	12.1	15.1	18.5	1.75	65	5.32	0.371	2
16			RB	Joe Mixon	CIN	15.3	16.3	17	0.884	37	5.13	0.893	3
17			TE	Darren Waller	LVR	10.2	11.5	15.1	0.976	64	5.02	1.1	3
18			WR	A.J. Brown	PHI	12.6	14.8	18.4	2.67	93	4.95	0.026	2
19			WR	Stefon Diggs	BUF	12.9	14.7	16.9	1.32	47	4.92	0.0415	2
20			WR	Tyreek Hill	MIA	12.8	14.7	16.6	2.11	79	4.88	0.413	2
21			QB	Lamar Jackson	BAL	21.9	24.4	29.8	2.64	88	4.77	0.491	1
22			WR	Mike Evans	TB	12.8	14.3	17.8	1.68	62	4.47	0.098	3
23			WR	CeeDee Lamb	DAL	10.4	14.2	17.6	4.91	99	4.37	0.664	3
24			QB	Jalen Hurts	PHI	21.2	23.9	28.6	3.07	91	4.28	0.19	1
25			RB	Aaron Jones	GB	14.5	15.4	16.2	1.05	45	4.24	0.361	3
26			QB	Josh Allen	BUF	22	23.7	25.3	1.21	65	4.09	0.293	1
27			TE	Dallas Goedert	PHI	8.37	10.4	12.4	0.341	33	3.92	0.341	3
28			RB	D'Andre Swift	DET	10.5	15.1	18.8	1.56	69	3.87	0.554	4
29			QB	Patrick Mahomes	KC	22.2	23.4	25.1	0.804	29	3.79	1.31	2
30			WR	Keenan Allen	LAC	11.7	13.5	17.8	2.55	90	3.71	0.106	3
31			WR	Terry McLaurin	WAS	9.85	13.4	16.5	2.24	82	3.6	0.0638	3
32			TE	Kyle Pitts	ATL	8.63	10	13.6	1.29	70	3.58	0.174	4
33			WR	DK Metcalf	SEA	11.5	13.4	15.8	1	35	3.54	0.258	3
34			TE	Dalton Schultz	DAL	4.48	9.85	13.1	3.26	99	3.4	0.0221	4
35			TE	George Kittle	SF	5.88	9.83	14.9	1.2	67	3.38	0.717	5
36			RB	Nick Chubb	CLE	12.2	14.5	17.3	1.69	74	3.32	0.0427	4
37			RB	Leonard Fournette	TB	10.1	14.5	17.2	1.3	58	3.28	0.163	4
38			WR	Michael Pittman	IND	9.83	13.1	17	1.57	54	3.28	0.00287	3
39			WR	Tee Higgins	CIN	11.6	13.1	16.2	1.81	71	3.28	0.0272	3
40			WR	Brandin Cooks	HOU	11.8	13.1	16.5	1.57	54	3.25	0.097	3
41			WR	Marquise Brown	ARI	10.4	13	16	2.55	88	3.15	0.427	4
42			RB	Najee Harris	PIT	12.4	14.3	17.7	1.13	48	3.12	0.182	4
43			RB	James Conner	ARI	9.7	14.1	16.9	1.77	80	2.93	0.0463	4
44			RB	Javonte Williams	DEN	9.13	14.1	17.6	1.72	78	2.89	0.242	4
45			WR	Robert Woods	TEN	9.11	12.5	16.8	4.11	97	2.72	0.0808	4
46			TE	T.J. Hockenson	DET	7.55	9.11	13.2	1.83	88	2.67	0.778	6
47			RB	Saquon Barkley	NYG	10.7	13.8	18.1	1.88	82	2.64	0.747	5
48			WR	Courtland Sutton	DEN	9.2	12.5	17.7	1.66	60	2.64	0.0235	4
49			WR	Gabriel Davis	BUF	7.71	12.4	16.2	2.42	85	2.62	0.0192	4
50			WR	Mike Williams	LAC	8.96	12.4	16.6	2.66	91	2.6	0.0747	4
88			WR	Hunter Renfrow	LVR	7.73	10.1	11.7	1.6	59	0.276	0.245	5
89			QB	Tom Brady	TB	19.4	19.9	21.9	0.638	24	0.262	0.25	4
90			TE	Austin Hooper	TEN	4.97	6.7	11.1	0.608	42	0.254	0.0475	8
91			DST	Steelers	PIT	5.21	5.48	6.49	0.316	26	0.233	0.145	5
92			TE	Albert Okwuegbunam	DEN	2.99	6.65	6.85	0.0193	6	0.206	0.0216	8
93			TE	Noah Fant	SEA	5.3	6.63	8.51	1.56	76	0.185	0.0651	8
94			RB	Cordarrelle Patterson	ATL	5.6	11.3	15.4	1.97	83	0.154	0.0145	7
95			RB	Dameon Pierce	HOU	9.5	11.3	16.6	0.535	18	0.139	0.0695	7
96			TE	Mike Gesicki	MIA	5.53	6.57	8.34	0.565	39	0.12	0.0332	8
97			DST	Colts	IND	4.92	5.34	6.58	0.425	39	0.0883	0.0333	6
98			TE	Gerald Everett	LAC	4.35	6.53	8.08	0.815	58	0.0864	0.0864	8
99			RB	Chris Carson	FA	11.2	11.2	11.2			0.07	0.01	7
100			RB	Clyde Edwards-Helaire	KC	9.99	11.2	14.6	0.504	15	0.06	0.06	7
101			DST	Eagles	PHI	4.79	5.3	6.23	0.563	55	0.055	0.005	6
102			DST	Packers	GB	4.57	5.3	6.03	1.04	97	0.05	0.0267	7
103			WR	Christian Kirk	JAC	8.52	9.85	14.6	1.87	75	0.0312	0.0312	6
104			DST	Titans	TEN	4.37	5.27	5.61	0.341	29	0.0233	0.0233	7
105			QB	Aaron Rodgers	GB	18.4	19.6	21.2	0.611	21	0.0119	0.0119	4
106			QB	Joe Burrow	CIN	18.4	19.6	20	0.488	18	0	0.172	4
107			RB	Ty'Son Williams	FA	11.2	11.2	11.2			0	0.00475	7
108			WR	Corey Davis	NYJ	7.25	9.82	12.6	2.51	87	0	0.0587	6
109			TE	David Njoku	CLE	4.41	6.45	8.34	1.93	91	0	0.107	9
110			DST	Broncos	DEN	4.23	5.25	6.44	1.45	99	0	0.0783	8
111			RB	Chase Edmonds	MIA	9.6	11.2	15.3	1.44	62	-0.00475	1.54	8
112			WR	Russell Gage	TB	8.31	9.76	12.8	1.96	76	-0.0587	0.12	6
