Index	a	b	Position	Player	Team	Floor	Points	Ceiling	SD	Uncertainty	VOR	"Drop Off"	Tier	ADP	AAV
1			RB	Jonathan Taylor	IND	16.1	18.2	19.6	1.33	76	9.32	2.04	1
2			WR	Cooper Kupp	LAR	14.3	16.2	18.5	1.75	92	8.05	1.24	1
3			TE	Travis Kelce	KC	11.2	12.2	13.4	0.9	71	7.99	1.32	1
4			RB	Christian McCaffrey	CAR	12.8	16.2	18.6	2.58	99	7.28	1.32	2
5			WR	Justin Jefferson	MIN	13.7	14.9	16.1	1.44	86	6.8	0.586	1
6			TE	Mark Andrews	BAL	9.36	10.8	12.9	1.29	91	6.67	2.46	2
7			WR	Davante Adams	LVR	12.9	14.4	15.7	1.13	73	6.22	0.868	2
8			QB	Josh Allen	BUF	22.3	23.9	25.9	0.941	40	6.13	2.14	1
9			RB	Derrick Henry	TEN	12	14.8	16.9	3.31	99	5.95	0.179	2
10			RB	Dalvin Cook	MIN	12.9	14.7	16.5	0.83	35	5.77	0.01	2
11			RB	Saquon Barkley	NYG	13.3	14.7	17.1	1.29	72	5.76	0.126	2
12			RB	Nick Chubb	CLE	11.3	14.5	16.6	2.3	97	5.64	0.0292	2
13			RB	Austin Ekeler	LAC	13.7	14.5	15.2	0.993	55	5.61	0.054	2
14			RB	Joe Mixon	CIN	13.5	14.4	16.8	0.919	44	5.55	0.78	3
15			WR	Ja'Marr Chase	CIN	12.4	13.5	15.6	0.593	25	5.35	0.452	3
16			WR	Deebo Samuel	SF	10.4	13	13.3	0.341	8	4.9	0.657	3
17			RB	D'Andre Swift	DET	10.2	13.7	16.9	1.22	68	4.77	0.424	4
18			RB	Javonte Williams	DEN	11.7	13.2	16	1.93	93	4.35	0.0902	4
19			RB	Antonio Gibson	WAS	11.3	13.2	14.8	1.15	65	4.26	0.517	4
20			WR	Stefon Diggs	BUF	11.1	12.4	14.2	0.663	34	4.24	0.417	4
21			TE	Darren Waller	LVR	7.46	8.37	11.3	1.06	85	4.2	0.804	3
22			QB	Jalen Hurts	PHI	19.2	21.7	28.3	2.15	91	3.99	0.309	1
23			WR	A.J. Brown	PHI	10	12	14.7	2.57	99	3.82	0.576	4
24			RB	James Conner	ARI	10.2	12.6	14.9	1.04	56	3.74	0.183	4
25			QB	Patrick Mahomes	KC	20	21.4	22.9	1.31	63	3.68	1.56	2
26			RB	Leonard Fournette	TB	11.4	12.4	15.3	1.1	62	3.56	0.0225	5
27			RB	Alvin Kamara	NO	9.18	12.4	14.8	1.75	87	3.54	0.106	5
28			RB	Aaron Jones	GB	8.87	12.3	13.9	0.178	1	3.43	0.0593	5
29			TE	Dallas Goedert	PHI	6.77	7.57	10.1	0.145	9	3.4	0.548	4
30			RB	Najee Harris	PIT	10.8	12.3	15.1	1.39	77	3.37	0.072	5
31			RB	Darrell Henderson	LAR	10.7	12.2	14.3	0.735	31	3.3	0.17	5
32			WR	Tyreek Hill	MIA	9.48	11.4	14.2	0.914	51	3.25	0.243	5
33			RB	Josh Jacobs	LVR	10.6	12	13.5	0.928	46	3.13	0.704	6
34			WR	Mike Evans	TB	10.6	11.1	13.4	0.652	32	3	0.117	5
35			WR	Mike Williams	LAC	8.65	11	14.6	2.05	93	2.89	0.0675	5
36			TE	Dalton Schultz	DAL	5.82	7.02	10.3	1.02	79	2.85	0.0415	4
37			WR	Michael Pittman	IND	9.99	11	14.3	0.919	52	2.82	0.007	5
38			WR	Gabriel Davis	BUF	9.24	11	13.2	0.504	20	2.81	0.887	6
39			TE	Kyle Pitts	ATL	6.07	6.98	7.26	0.187	12	2.81	0.0964	4
40			TE	Dawson Knox	BUF	5.25	6.88	9.95	1.41	97	2.71	0.308	4
41			RB	Cordarrelle Patterson	ATL	9.99	11.3	14.5	1.06	58	2.43	0.126	6
42			TE	T.J. Hockenson	DET	5.77	6.57	10.6	0.473	32	2.4	0.244	5
43			RB	James Robinson	JAC	10.1	11.2	13.4	0.645	24	2.3	0.01	6
44			RB	David Montgomery	CHI	10.1	11.2	13.8	0.638	23	2.29	0.061	6
45			RB	Miles Sanders	PHI	9.41	11.1	12.8	1.73	83	2.23	0.057	6
46			RB	AJ Dillon	GB	10.1	11.1	12.8	0.934	51	2.17	0.225	6
47			TE	Gerald Everett	LAC	5.18	6.33	9.38	1.01	76	2.16	0.279	5
48			QB	Lamar Jackson	BAL	17.6	19.9	22.3	2.71	99	2.12	0.0683	2
49			QB	Justin Herbert	LAC	19.1	19.8	22.8	0.702	23	2.05	0.483	3
50			RB	Damien Harris	NE	9.59	10.8	13.6	0.569	18	1.95	0.0183	6
51			RB	Rashaad Penny	SEA	9.07	10.8	13.5	1.51	82	1.93	0.113	6
52			WR	Courtland Sutton	DEN	7.11	10.1	13.9	2.85	99	1.93	0.021	6
53			WR	Jerry Jeudy	DEN	8.16	10	12.7	1.18	76	1.9	0.251	6
