,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Atlanta REC TE,,ATL,6,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.30,119.19,11.0,10.8,1308,9.0
Kyle Pitts,1,ATL,6,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.58,69.13,12.3,11.7,808,6.0
Hayden Hurst,2,ATL,6,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.42,50.06,10.6,10.0,500,3.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Baltimore Passing,,BAL,8,QB,100.00,66%,306.5,461.0,7.7,3565.1,31.17,10.00,153,869,8.00,
Lamar Jackson,1,BAL,8,QB,0.96,66%,294.3,442.6,7.7,3407.3,31.00,9.00,153,869,8.00,
Trace McSorley,2,BAL,8,QB,0.04,63%,11.6,18.4,7.0,129.1,1.00,0.40,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Baltimore Rushing,,BAL,8,RB,100,565.32,4.7,4.3,2691.2,25.0,0.16,49.05,7.5,7.4,367,2.0
Gus Edwards,1,BAL,8,RB,0.46,260.05,4.7,4.6,1194.5,13.0,0.32,15.69,8.3,7.7,121,1.0
Ty'Son Williams,2,BAL,8,RB,0.14,79.14,4.2,4.1,324.0,2.0,0.11,5.40,8.3,7.7,42,0.0
Le'Veon Bell,3,BAL,8,RB,0.13,73.49,4.0,3.9,286.1,2.0,0.58,28.45,7.5,7.2,205,1.0
Nate McCrary,4,BAL,8,RB,0.00,0.00,4.2,4.1,0.0,0.0,0.00,0.00,6.8,6.2,0,0.0
Lamar Jackson,,BAL,8,QB,0.27,152.64,5.8,5.7,869.0,8.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Baltimore REC WR,,BAL,8,WR,0.01,2.00,8.7,4.3,17.5,0.2,0.51,156.34,12.7,12.6,1984,18.0
Marquise Brown,1,BAL,8,WR,0.00,1.00,11.2,11.1,11.1,0.0,0.42,65.66,14.0,13.7,898,8.0
Sammy Watkins,2,BAL,8,WR,0.00,1.00,6.5,6.4,6.4,0.0,0.25,39.08,11.2,10.9,425,4.0
Rashod Bateman,3,BAL,8,WR,0.00,0.00,10.5,10.4,0.0,0.0,0.16,25.01,13.2,12.9,322,3.0
Miles Boykin,4,BAL,8,WR,0.00,0.00,7.1,7.0,0.0,0.0,0.06,9.38,11.9,11.6,109,1.6
