Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Julio Jones	TEN	WR	134	161	183	18	3.6	11.2	1.86	4	48.8
Justin Tucker	BAL	K	150	160	171	7.88	2.53	23	6.36	1	114
Chase Edmonds	ARI	RB	138	160	184	14.7	3.33	-6.5	3.44	7	70.6
Adam Thielen	MIN	WR	151	159	172	8.15	2.48	9.32	3.01	5	55.1
Raheem Mostert	SF	RB	130	157	192	22.7	4.29	-9.94	0.252	7	69
George Kittle	SF	TE	137	157	182	17	3.66	61.3	28.1	3	28.9
Rams	LAR	DST	125	156	195	29	4.87	15.6	8.47	1	98.1
Darrell Henderson	LAR	RB	129	156	182	20.3	4.08	-10.2	6.1	7	59.7
Tyler Lockett	SEA	WR	143	156	166	9.69	2.66	6.31	3.6	5	52.5
Harrison Butker	KC	K	138	153	164	9.22	2.75	16.7	1.42	1	118
Younghoe Koo	ATL	K	140	152	173	11.8	3.84	15.2	0.517	1	124
D.J. Moore	CAR	WR	138	152	163	9.18	2.59	2.71	0.514	5	59.4
Cooper Kupp	LAR	WR	134	152	162	10.6	2.73	2.19	1.22	5	49.6
Greg Zuerlein	DAL	K	126	151	176	18.9	4.19	14.7	0.231	1	135
Tyler Bass	BUF	K	132	151	160	11.9	4.6	14.5	8.09	1	125
Diontae Johnson	PIT	WR	137	151	175	14.9	3.31	0.978	0.978	5	59
Kareem Hunt	CLE	RB	107	150	179	25.1	4.42	-16.3	8.35	8	59.9
Brandon Aiyuk	SF	WR	132	150	168	14.6	3.3	0	0.608	5	64.6
Odell Beckham	CLE	WR	139	149	163	9.62	2.8	-0.608	0.00593	5	77.4
Kenny Golladay	NYG	WR	119	149	184	22.1	4.32	-0.614	2.06	5	85.6
49ers	SF	DST	130	148	181	20.8	3.41	7.11	0.622	1	134
Saints	NO	DST	124	147	164	16.2	3.7	6.48	0.0282	1	157
Packers	GB	DST	120	147	165	19.5	4.09	6.46	0.464	1	174
Steelers	PIT	DST	116	147	160	18.3	2.2	5.99	1.16	2	102
Tee Higgins	CIN	WR	120	147	160	14.9	3.35	-2.67	1.84	5	74.2
Cardinals	ARI	DST	123	145	167	18.1	7.68	4.83	2.97	3	182
Chase Claypool	PIT	WR	112	145	171	22.1	4.28	-4.51	0.944	5	71.4
Deebo Samuel	SF	WR	122	144	161	14.9	3.57	-5.46	1.89	6	99
Jason Sanders	MIA	K	131	143	159	9.99	3.38	6.39	0.499	1	147
Buccaneers	TB	DST	114	142	168	25.2	5.98	1.87	0.184	3	113
Bills	BUF	DST	127	142	154	13.7	2.66	1.68	0.53	3	137
Ravens	BAL	DST	134	142	163	12.6	0.18	1.15	1.15	4	120
Ryan Succop	TB	K	122	142	154	11.3	4.82	5.89	1	2	143
Melvin Gordon	DEN	RB	92.8	142	193	38	6.22	-24.6	7.72	8	83.9
Brandin Cooks	HOU	WR	123	142	184	22.4	4.43	-7.34	1.13	6	107
Cowboys	DAL	DST	120	141	162	18.4	4.19	0	0.904	4	181
Daniel Carlson	LVR	K	134	141	157	8.19	4.34	4.89	1.3	2	162
Courtland Sutton	DEN	WR	117	141	167	18.4	3.79	-8.48	5.09	6	87.5
Redskins	WAS	DST	127	140	153	10.6	2.9	-0.904	0.194	5	117
Jason Myers	SEA	K	136	140	145	3.51	2.86	3.59	3.59	2	169
Chiefs	KC	DST	113	139	163	20.6	4.75	-1.1	3.73	6	156
Rodrigo Blankenship	IND	K	116	137	147	15.4	5.2	0	0.144	2	127
Dolphins	MIA	DST	120	136	152	12.5	4.72	-4.83	1.93	7	154
Matt Gay	LAR	K	133	136	142	3.5	5.65	-0.144	2.45	2	165
JuJu Smith-Schuster	PIT	WR	124	136	149	9.07	2.78	-13.6	1.52	6	81
Colts	IND	DST	119	134	148	13.6	3.45	-6.76	0.21	8	139
Patriots	NE	DST	113	134	142	12.4	2.16	-6.97	4.54	9	145
Brandon McManus	DEN	K	122	134	154	12.2	4.46	-2.59	0.272	2	172
Matt Prater	ARI	K	122	134	140	6.63	3.35	-2.87	0.0312	2	175
Mason Crosby	GB	K	117	134	150	12.3	4.23	-2.9	0.743	2	167
Javonte Williams	DEN	RB	70	134	173	36	6.34	-32.4	4.82	8	68.3
Michael Gallup	DAL	WR	123	134	144	8.14	2.87	-15.1	0.236	6	128
Jerry Jeudy	DEN	WR	96	134	163	23.6	4.53	-15.3	0.577	6	77.4
Marvin Jones	JAC	WR	110	134	173	22.2	4.63	-15.9	1.39	6	126
Robbie Gould	SF	K	122	133	144	9.28	3.71	-3.64	3.19	3	184
Corey Davis	NYJ	WR	107	132	160	20.1	4.37	-17.3	0.267	6	108
Robby Anderson	CAR	WR	126	132	144	6.58	2.56	-17.6	0.513	6	86.8
Ja'Marr Chase	CIN	WR	113	131	146	14.3	3.5	-18.1	0.545	6	85.5
Marquise Brown	BAL	WR	115	131	152	13	3.65	-18.6	2.27	6	129
Cairo Santos	CHI	K	119	130	136	5.82	4.49	-6.83	0.988	3	145
Seahawks	SEA	DST	96.4	129	146	21.2	4.83	-11.5	0.728	9	195
Graham Gano	NYG	K	122	129	140	7.26	4.79	-7.82	1.82	3	223
Ronald Jones	TB	RB	112	129	178	26.5	4.6	-37.2	0.494	8	91
Leonard Fournette	TB	RB	111	129	179	25.6	4.78	-37.7	9.75	9	94.4
Mark Andrews	BAL	TE	118	129	148	11.3	2.51	33.2	12.2	4	51
Jarvis Landry	CLE	WR	107	129	150	14.4	3.65	-20.9	0.956	6	118
Browns	CLE	DST	103	128	145	17.2	6.83	-12.2	0.0185	9	164
Bears	CHI	DST	110	128	146	14.9	4.09	-12.3	0.109	9	183
Falcons	ATL	DST	112	128	150	16.2	3.99	-12.4	1.05	10	
D.J. Chark	JAC	WR	97.7	128	158	21.1	4.58	-21.8	0.244	6	110
Eagles	PHI	DST	94.8	127	167	27.9	7.2	-13.4	2	11	194
Dustin Hopkins	WAS	K	119	127	134	6.3	4.37	-9.64	0.275	3	226
Chris Boswell	PIT	K	120	127	135	5.67	3.51	-9.91	4.01	3	160
Tyler Boyd	CIN	WR	114	127	136	7.87	2.62	-22.1	0.231	6	100
Curtis Samuel	WAS	WR	99.2	127	152	18.7	4.32	-22.3	0.182	6	128
Michael Thomas	NO	WR	102	127	154	18.6	5.09	-22.5	1.21	7	91.1
DeVante Parker	MIA	WR	115	126	146	12	3.69	-23.7	2.51	7	140
Panthers	CAR	DST	98.2	125	144	20.7	7.09	-15.4	2.79	12	197
Sam Ficken	TEN	K	107	123	138	11.6	5.47	-13.9	0.257	3	
Laviska Shenault	JAC	WR	86	123	159	23.7	4.8	-26.2	0.389	7	110
Will Fuller	MIA	WR	88.8	123	155	24.2	4.73	-26.6	0.48	7	116
Giants	NYG	DST	102	122	144	16.5	5.76	-18.2	3.18	13	248
Josh Lambo	JAC	K	108	122	138	11	4.4	-14.2	3.23	4	
Antonio Brown	TB	WR	83.3	122	155	25	5.03	-27.1	1.13	7	96.2
Mike Williams	LAC	WR	111	121	144	12.2	3.43	-28.2	2.96	7	126
Titans	TEN	DST	92.1	119	133	17.4	5.15	-21.4	2.78	14	249
Kaimi Fairbairn	HOU	K	91.3	119	134	18.2	6.71	-17.4	4.54	4	
Trey Sermon	SF	RB	58.1	119	154	35.5	6.44	-47.4	3.54	9	83.4
Tyrell Williams	DET	WR	100	118	138	15.8	5.16	-31.2	0.217	7	160
DeVonta Smith	PHI	WR	98.3	118	145	16.7	3.92	-31.4	0.984	7	92.4
T.J. Hockenson	DET	TE	103	117	131	10.5	2.53	21	6.9	4	58.5
Henry Ruggs	LVR	WR	92.7	117	147	19.1	4.66	-32.4	2.92	7	136
Broncos	DEN	DST	95.4	116	146	22.2	6.62	-24.2	2.84	15	157
Zack Moss	BUF	RB	87.3	116	145	22.3	4.29	-51	6.47	9	102
Austin Seibert	CIN	K	98.4	115	148	19.6	5.37	-21.9	0.193	4	
