Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Lamar Jackson	BAL	QB	23.2	26	28.9	2.05	4.84	0.477	1
Kyler Murray	ARI	QB	22.5	25.5	27.6	2.04	4.27	0.293	1
Patrick Mahomes	KC	QB	22.8	25.2	27.1	1.82	4.45	1.7	2
Jalen Hurts	PHI	QB	19.6	23.5	28.9	3.67	7.13	1.04	3
Christian McCaffrey	CAR	RB	20.7	22.7	25.6	1.73	4.03	3.35	1
Josh Allen	BUF	QB	21	22.5	24.1	1.31	4.27	0.385	3
Russell Wilson	SEA	QB	20.9	22.1	23.7	1.05	4.11	0.0512	3
Dak Prescott	DAL	QB	19	22	23.7	1.75	5.26	0.841	4
Tom Brady	TB	QB	18.3	21.2	23.9	2.55	6.49	0.105	4
Justin Herbert	LAC	QB	20	21.1	21.9	0.764	4.44	0.682	5
Ryan Tannehill	TEN	QB	19.1	20.4	21.7	1.03	5.58	0.239	5
Daniel Jones	NYG	QB	17.9	20.2	21.4	1.31	6.99	0.859	5
Dalvin Cook	MIN	RB	18.2	19.4	21.3	1.32	3.56	0.579	1
Aaron Rodgers	GB	QB	17.5	19.3	20.6	1.28	4.59	0.0191	5
Derek Carr	LVR	QB	18.2	19.3	19.8	0.622	3.76	0.333	6
Matthew Stafford	LAR	QB	16.8	18.9	20.4	1.31	5.04	0.0865	6
Kirk Cousins	MIN	QB	16.9	18.9	20.4	1.26	6.88	0.0379	6
Teddy Bridgewater	DEN	QB	17.7	18.8	20	0.963	5.45	0.141	6
Derrick Henry	TEN	RB	16.1	18.8	20.5	1.74	4.29	1.16	2
Sam Darnold	CAR	QB	15.7	18.7	21.6	2.15	7.2	0.952	7
Justin Fields	CHI	QB	13.4	17.7	20.7	2.86	8.73	0.106	7
Alvin Kamara	NO	RB	15.9	17.7	18.9	1.14	3.41	0.693	3
Jared Goff	DET	QB	14.9	17.6	19.2	1.83	6.53	0.23	7
Tyreek Hill	KC	WR	15.4	17.6	19.9	1.84	4.17	0.41	1
Travis Kelce	KC	TE	16.3	17.5	18.2	0.803	2.68	1.86	1
Matt Ryan	ATL	QB	16	17.4	18.1	0.83	4.07	0.11	7
Baker Mayfield	CLE	QB	14.2	17.3	20.9	2.57	7.32	0.858	8
Davante Adams	GB	WR	15.9	17.2	19.9	1.75	3.81	0.642	1
Austin Ekeler	LAC	RB	14.7	17	21.1	2.47	5.86	0.222	3
Aaron Jones	GB	RB	15.3	16.7	18.4	1.13	3.54	1.24	4
Tyler Lockett	SEA	WR	14.4	16.5	18.8	1.6	4.13	0.115	1
Jimmy Garoppolo	SF	QB	14.1	16.4	17.8	1.39	5.69	0.0686	8
DeAndre Hopkins	ARI	WR	13.5	16.4	18.2	2.14	4.38	0.0155	1
Cooper Kupp	LAR	WR	14.8	16.4	18.5	1.51	3.98	0.344	1
Joe Burrow	CIN	QB	14.5	16.3	17.5	1.26	6.76	0.282	8
Trevor Lawrence	JAC	QB	14.3	16.1	17.7	1.41	5.96	0.277	8
CeeDee Lamb	DAL	WR	13.4	16.1	19.8	2.65	5.45	0.0764	1
Stefon Diggs	BUF	WR	14.3	16	18.1	1.53	3.73	0.268	2
Taylor Heinicke	WAS	QB	13.1	15.8	19.4	2.64	6.84	0.0179	8
Jameis Winston	NO	QB	13.9	15.8	17.4	1.52	6.74	0.14	8
Calvin Ridley	ATL	WR	14.5	15.7	17.6	1.24	3.41	0.536	2
Ben Roethlisberger	PIT	QB	14	15.6	18.5	1.87	5.18	0.831	9
Darren Waller	LVR	TE	13	15.6	17.9	2.01	4.99	3.1	2
Nick Chubb	CLE	RB	13.8	15.5	18.3	1.96	5.06	0.512	4
Justin Jefferson	MIN	WR	12.3	15.2	18.7	2.58	5.44	0.333	2
Jonathan Taylor	IND	RB	13.3	15	17	1.52	4.37	0.021	4
Joe Mixon	CIN	RB	13.9	15	17.6	1.49	4.21	0.286	5
Jacoby Brissett	MIA	QB	12.6	14.8	17.2	1.9	7.17	0.192	9
A.J. Brown	TEN	WR	12.9	14.8	17.3	1.7	4.24	0.0443	2
DK Metcalf	SEA	WR	13.1	14.8	17.4	1.95	4.47	0.207	2
Chris Carson	SEA	RB	13.5	14.7	16	0.878	3.46	0.257	5
Mac Jones	NE	QB	13.8	14.6	15.7	0.825	4.49	0.71	10
Keenan Allen	LAC	WR	12	14.6	19.7	3.34	6.57	0.0522	2
Adam Thielen	MIN	WR	12.3	14.5	17.5	1.99	4.87	0.263	3
D'Andre Swift	DET	RB	12.3	14.4	17.8	2.1	5.14	0.139	5
Ezekiel Elliott	DAL	RB	13	14.3	15.7	1.16	4.06	0.148	5
D.J. Moore	CAR	WR	12.3	14.3	17.4	2.25	4.82	0.0559	3
Chris Godwin	TB	WR	12.4	14.2	16.3	1.59	4.05	0.0471	3
Deebo Samuel	SF	WR	11.5	14.2	18.2	2.48	5.76	0.313	3
Najee Harris	PIT	RB	12.2	14.1	15.9	1.56	4.43	0.166	5
David Montgomery	CHI	RB	12.3	14	17.1	1.9	5.11	0.127	5
Davis Mills	HOU	QB	12.8	13.9	15.4	1.15	4.63	0.517	10
Brandin Cooks	HOU	WR	12.1	13.9	16.5	2.06	5.06	0.259	3
Saquon Barkley	NYG	RB	11.9	13.8	16.1	1.86	4.84	0.232	6
Miles Sanders	PHI	RB	12	13.6	16.4	1.89	4.94	0.177	6
Terry McLaurin	WAS	WR	11.6	13.6	17.1	2.02	4.58	0.0127	3
Marquise Brown	BAL	WR	9.85	13.6	16.5	2.46	6.27	0.00183	3
Courtland Sutton	DEN	WR	12.1	13.6	17	2.2	5.44	0.201	3
Zach Wilson	NYJ	QB	12.2	13.4	14.7	1.2	4.6	1.86	11
Antonio Gibson	WAS	RB	12	13.4	16	1.69	4.6	1.3	7
Julio Jones	TEN	WR	11.2	13.4	16.1	1.99	4.52	0.177	3
Sterling Shepard	NYG	WR	9.51	13.2	17.7	2.9	6.36	0.108	3
Marvin Jones	JAC	WR	10.6	13.1	15.9	2.34	6.11	0.00343	3
Mike Williams	LAC	WR	10.8	13.1	16.4	2.42	5.52	0.321	4
Mike Evans	TB	WR	11.1	12.8	15.4	1.8	4.84	0.412	4
George Kittle	SF	TE	10.5	12.5	15	2.15	5.64	0.179	2
Allen Robinson	CHI	WR	10.4	12.4	15.2	1.92	4.44	0.166	4
T.J. Hockenson	DET	TE	10	12.3	15.5	2.46	6.07	1.14	3
Ja'Marr Chase	CIN	WR	9.99	12.2	15.8	2.17	5.28	0.111	4
Damien Harris	NE	RB	10.8	12.1	14.7	1.54	4.9	0.211	7
Tee Higgins	CIN	WR	8.82	12.1	15.6	2.63	5.65	0.132	4
Robert Woods	LAR	WR	11.3	12	13.1	0.765	3.2	0.128	4
Chase Edmonds	ARI	RB	10.4	11.9	14.1	1.38	4.81	0.0382	7
Ty'Son Williams	BAL	RB	11.3	11.9	13.4	1.03	4.21	0.268	7
Amari Cooper	DAL	WR	2.58	11.8	15.8	5.25	9.15	0.101	4
Odell Beckham	CLE	WR	10.1	11.7	15	2.14	11.9	0.186	5
James Robinson	JAC	RB	9.63	11.6	13	1.5	4.58	0.228	7
Carson Wentz	IND	QB	7.38	11.5	16.2	3.84	12.6	0.969	11
Michael Pittman	IND	WR	8.74	11.5	15.4	2.76	6.22	0.167	5
Clyde Edwards-Helaire	KC	RB	10.2	11.4	13	1.19	3.45	0.0824	8
DeVonta Smith	PHI	WR	7.85	11.4	15.8	3.31	6.68	0.271	5
Myles Gaskin	MIA	RB	9.75	11.3	12.7	1.34	3.95	0.263	8
Mark Andrews	BAL	TE	9.07	11.2	14.1	2.02	5.33	0.387	4
